trade_date,rebalance_executed,level_name,solver_status,fallback_flag,score_count,holding_count,max_single_weight,top5_weight_sum,top10_weight_sum,non_constituent_weight_sum,constituent_weight_sum,max_industry_deviation,max_constituent_deviation
2021-05-06,True,LayeredEW_基准底仓,tiers_20-20-20,False,60,66,0.08387924508679423,0.31156719589523696,0.5131883813045683,0.0,1.0000000000000002,0.019414989845091324,0.009320754913205775
2021-05-07,False,LayeredEW_持仓沿用,carry_forward,False,100,66,0.08387924508679423,0.31156719589523696,0.5131883813045683,0.0,1.0000000000000002,0.019414989845091324,0.009320754913205775
2021-05-10,False,LayeredEW_持仓沿用,carry_forward,False,101,66,0.08387924508679423,0.31156719589523696,0.5131883813045683,0.0,1.0000000000000002,0.019414989845091324,0.009320754913205775
2021-05-11,False,LayeredEW_持仓沿用,carry_forward,False,102,66,0.08387924508679423,0.31156719589523696,0.5131883813045683,0.0,1.0000000000000002,0.019414989845091324,0.009320754913205775
2021-05-12,False,LayeredEW_持仓沿用,carry_forward,False,102,66,0.08387924508679423,0.31156719589523696,0.5131883813045683,0.0,1.0000000000000002,0.019414989845091324,0.009320754913205775
2021-05-13,False,LayeredEW_持仓沿用,carry_forward,False,102,66,0.08387924508679423,0.31156719589523696,0.5131883813045683,0.0,1.0000000000000002,0.019414989845091324,0.009320754913205775
2021-05-14,False,LayeredEW_持仓沿用,carry_forward,False,102,66,0.08387924508679423,0.31156719589523696,0.5131883813045683,0.0,1.0000000000000002,0.019414989845091324,0.009320754913205775
2021-05-17,False,LayeredEW_持仓沿用,carry_forward,False,102,66,0.08387924508679423,0.31156719589523696,0.5131883813045683,0.0,1.0000000000000002,0.019414989845091324,0.009320754913205775
2021-05-18,False,LayeredEW_持仓沿用,carry_forward,False,104,66,0.08387924508679423,0.31156719589523696,0.5131883813045683,0.0,1.0000000000000002,0.019414989845091324,0.009320754913205775
2021-05-19,False,LayeredEW_持仓沿用,carry_forward,False,104,66,0.08387924508679423,0.31156719589523696,0.5131883813045683,0.0,1.0000000000000002,0.019414989845091324,0.009320754913205775
2021-05-20,True,LayeredEW_基准底仓,tiers_20-20-20,False,60,66,0.08387924508679423,0.31156719589523696,0.5126883858045278,0.0,1.0,0.01891499434505084,0.009320754913205775
2021-05-21,False,LayeredEW_持仓沿用,carry_forward,False,105,66,0.08387924508679423,0.31156719589523696,0.5126883858045278,0.0,1.0,0.01891499434505084,0.009320754913205775
2021-05-24,False,LayeredEW_持仓沿用,carry_forward,False,105,66,0.08387924508679423,0.31156719589523696,0.5126883858045278,0.0,1.0,0.01891499434505084,0.009320754913205775
2021-05-25,False,LayeredEW_持仓沿用,carry_forward,False,104,66,0.08387924508679423,0.31156719589523696,0.5126883858045278,0.0,1.0,0.01891499434505084,0.009320754913205775
2021-05-26,False,LayeredEW_持仓沿用,carry_forward,False,104,66,0.08387924508679423,0.31156719589523696,0.5126883858045278,0.0,1.0,0.01891499434505084,0.009320754913205775
