trade_date,stkcd,weight,is_constituent
2021-05-06,688002,0.042799999966215634,True
2021-05-06,688005,0.062199999986837985,True
2021-05-06,688006,0.021456275181692627,True
2021-05-06,688008,0.06999999999475688,True
2021-05-06,688009,0.00039000001141159226,True
2021-05-06,688012,0.05323000013821282,True
2021-05-06,688015,0.015733857425741092,True
2021-05-06,688019,0.03831999998592531,True
2021-05-06,688023,0.012750000092737369,True
2021-05-06,688029,0.018689999985906786,True
2021-05-06,688030,0.003717597646060119,True
2021-05-06,688036,0.06999999999284028,True
2021-05-06,688088,0.017850000004990128,True
2021-05-06,688099,0.0577246690630238,True
2021-05-06,688111,0.0699999999965369,True
2021-05-06,688116,0.04938999998613854,True
2021-05-06,688122,0.019640000008381068,True
2021-05-06,688126,0.010443104224642816,True
2021-05-06,688139,0.024820166337752497,True
2021-05-06,688169,0.069999999996318,True
2021-05-06,688188,0.03663362909151634,True
2021-05-06,688208,0.007599999971134921,True
2021-05-06,688321,0.010810166676052332,True
2021-05-06,688363,0.04687650220307561,True
2021-05-06,688366,0.03190987202875351,True
2021-05-06,688388,0.019199998485379628,True
2021-05-06,688396,0.04850999999729599,True
2021-05-06,688981,0.0693041609302691,True
2021-05-07,688002,0.042799999966215634,True
2021-05-07,688005,0.062199999986837985,True
2021-05-07,688006,0.021456275181692627,True
2021-05-07,688008,0.06999999999475688,True
2021-05-07,688009,0.00039000001141159226,True
2021-05-07,688012,0.05323000013821282,True
2021-05-07,688015,0.015733857425741092,True
2021-05-07,688019,0.03831999998592531,True
2021-05-07,688023,0.012750000092737369,True
2021-05-07,688029,0.018689999985906786,True
2021-05-07,688030,0.003717597646060119,True
2021-05-07,688036,0.06999999999284028,True
2021-05-07,688088,0.017850000004990128,True
2021-05-07,688099,0.0577246690630238,True
2021-05-07,688111,0.0699999999965369,True
2021-05-07,688116,0.04938999998613854,True
2021-05-07,688122,0.019640000008381068,True
2021-05-07,688126,0.010443104224642816,True
2021-05-07,688139,0.024820166337752497,True
2021-05-07,688169,0.069999999996318,True
2021-05-07,688188,0.03663362909151634,True
2021-05-07,688208,0.007599999971134921,True
2021-05-07,688321,0.010810166676052332,True
2021-05-07,688363,0.04687650220307561,True
2021-05-07,688366,0.03190987202875351,True
2021-05-07,688388,0.019199998485379628,True
2021-05-07,688396,0.04850999999729599,True
2021-05-07,688981,0.0693041609302691,True
2021-05-10,688002,0.042799999966215634,True
2021-05-10,688005,0.062199999986837985,True
2021-05-10,688006,0.021456275181692627,True
2021-05-10,688008,0.06999999999475688,True
2021-05-10,688009,0.00039000001141159226,True
2021-05-10,688012,0.05323000013821282,True
2021-05-10,688015,0.015733857425741092,True
2021-05-10,688019,0.03831999998592531,True
2021-05-10,688023,0.012750000092737369,True
2021-05-10,688029,0.018689999985906786,True
2021-05-10,688030,0.003717597646060119,True
2021-05-10,688036,0.06999999999284028,True
2021-05-10,688088,0.017850000004990128,True
2021-05-10,688099,0.0577246690630238,True
2021-05-10,688111,0.0699999999965369,True
