trade_date,rebalance_executed,level_name,solver_status,fallback_flag,score_count,holding_count,max_single_weight,top5_weight_sum,top10_weight_sum,non_constituent_weight_sum,constituent_weight_sum,max_industry_deviation,max_constituent_deviation
2021-05-06,True,Level2_标准增强,optimal,False,100,28,0.0699999999965369,0.34930416091072114,0.6203588300822304,6.352135841913522e-18,0.9999999999999999,0.03391654068579923,0.02999999998858841
2021-05-07,False,Level2_标准增强,optimal,False,100,28,0.0699999999965369,0.34930416091072114,0.6203588300822304,6.352135841913522e-18,0.9999999999999999,0.03391654068579923,0.02999999998858841
2021-05-10,False,Level2_标准增强,optimal,False,100,28,0.0699999999965369,0.34930416091072114,0.6203588300822304,6.352135841913522e-18,0.9999999999999999,0.03391654068579923,0.02999999998858841
2021-05-11,False,Level2_标准增强,optimal,False,100,28,0.0699999999965369,0.34930416091072114,0.6203588300822304,6.352135841913522e-18,0.9999999999999999,0.03391654068579923,0.02999999998858841
2021-05-12,False,Level2_标准增强,optimal,False,100,28,0.0699999999965369,0.34930416091072114,0.6203588300822304,6.352135841913522e-18,0.9999999999999999,0.03391654068579923,0.02999999998858841
2021-05-13,True,Level2_标准增强,optimal,False,102,27,0.06999999999925222,0.34320000480641255,0.615669157842243,6.8590481497194704e-15,0.9999999999999932,0.062266237987726056,0.02999999999802242
2021-05-14,False,Level2_标准增强,optimal,False,102,27,0.06999999999925222,0.34320000480641255,0.615669157842243,6.8590481497194704e-15,0.9999999999999932,0.062266237987726056,0.02999999999802242
2021-05-17,False,Level2_标准增强,optimal,False,102,27,0.06999999999925222,0.34320000480641255,0.615669157842243,6.8590481497194704e-15,0.9999999999999932,0.062266237987726056,0.02999999999802242
2021-05-18,False,Level2_标准增强,optimal,False,102,27,0.06999999999925222,0.34320000480641255,0.615669157842243,6.8590481497194704e-15,0.9999999999999932,0.062266237987726056,0.02999999999802242
2021-05-19,False,Level2_标准增强,optimal,False,102,27,0.06999999999925222,0.34320000480641255,0.615669157842243,6.8590481497194704e-15,0.9999999999999932,0.062266237987726056,0.02999999999802242
2021-05-20,True,Level2_标准增强,optimal,False,104,30,0.06999999999970721,0.34460607780524466,0.5989193684543733,8.603719582307698e-15,0.9999999999999913,0.04257828001943581,0.02999999999881896
2021-05-21,False,Level2_标准增强,optimal,False,104,30,0.06999999999970721,0.34460607780524466,0.5989193684543733,8.603719582307698e-15,0.9999999999999913,0.04257828001943581,0.02999999999881896
2021-05-24,False,Level2_标准增强,optimal,False,104,30,0.06999999999970721,0.34460607780524466,0.5989193684543733,8.603719582307698e-15,0.9999999999999913,0.04257828001943581,0.02999999999881896
2021-05-25,False,Level2_标准增强,optimal,False,104,30,0.06999999999970721,0.34460607780524466,0.5989193684543733,8.603719582307698e-15,0.9999999999999913,0.04257828001943581,0.02999999999881896
2021-05-26,False,Level2_标准增强,optimal,False,104,30,0.06999999999970721,0.34460607780524466,0.5989193684543733,8.603719582307698e-15,0.9999999999999913,0.04257828001943581,0.02999999999881896
