model,n_days,total_return,annual_return,annual_vol,sharpe,per_bar_sharpe,max_drawdown,win_rate,avg_daily_ret
ridge,121,9003.928,18751.981727789258,683.1119068009557,27.450819611102443,0.18166178,-49.206543,0.9586776859504132,74.41264
xgb,121,182520.61,380125.56663223146,3350.0436407872,113.46884022767799,2.3289785,0.0,1.0,1508.4348
nn,121,182293.83,379653.2618801653,3381.2360217073992,112.2823900617427,2.3209171,0.0,1.0,1506.5604
