factor,mean,std,skew,kurt,N
CIV,0.16033041938589224,0.09301178926464461,5.042108564500767,56.0473806566748,467
PIV,0.1642915216023378,0.09573944866909127,3.0875705951052868,19.371456320472944,467
dCIV,-0.001918378737839666,0.10445241502193577,0.23433346933287943,78.58893131663103,453
dPIV,-0.0003334225744134981,0.08139344544101358,0.6538799095994241,48.05455472378116,453
IVS_ATM,0.002365256418278322,0.04439593775764116,-0.7767382476602672,14.930344194739275,463
IVS_OTM,0.003005817813893906,0.048548523853667626,-0.8693891190838645,11.51880516103957,466
dIVS_ATM,0.0020175858179729733,0.052144801486468474,1.420707246677534,32.87341449848222,445
dIVS_OTM,0.000996247857697886,0.059835942093731914,1.0409363601738295,24.430774850018334,451
SKEW,0.01642405781809069,0.3458782995484133,-3.58603186624626,47.15355547784517,466
AVAR,0.001984686570174501,0.01837049214485849,6.538197146880735,82.45648391612625,467
VARQ,0.03625195382171952,0.04664857417101486,7.962391237768288,92.40053573646921,467
VAR_PLUS,0.01712364509073866,0.02263780381582322,7.380094906160187,75.88752779471001,467
VAR_MINUS,0.019108331660913164,0.027285452991568267,7.609810094199747,81.30055174480428,467
VRP,-0.014246392734444021,0.08827229087641564,-8.560838676747846,125.44389850737804,462
KT,0.004073745368057995,0.006059444265553227,13.761343751225057,243.84542350999118,467
TSCALL,-0.03205988531782373,0.08225871881040825,7.455750408054542,100.1004918573441,296
TSPUT,-0.017580268056496377,0.07159402296662426,5.235344911054266,58.815215810532244,294
dTSCALL,8.483188036969422e-05,0.09492892127355253,8.829443498682734,113.21261093256544,241
dTSPUT,0.0008336199771613811,0.07246102301179523,7.8140516674778,94.29924151826361,237
VOV,0.03715246552207168,0.02947144737799019,2.7157649633112495,12.901933956534645,469
O_S,-7.055718560025796,1.0218370242424812,1.0530669335795892,0.5854656747311422,190
betaVIX,-0.12368749106812861,0.1337520914618658,-0.030075114226251247,2.735067732706047,113
betaSkew,-0.019745884904714853,0.03151020895342422,-0.4042807585760689,-1.4257786889555861,23
betaVRP,0.0059567294641234315,0.4195688325492614,-0.4443687738306676,2.259435323919754,169
betaIVSOTM,0.029694154846320785,0.08112272790901112,-2.3698578176478917,5.0049251761833755,111
betaTSCALL,-0.005853082920995068,0.012726762034807671,1.5088405881645148,,3
betaTSPUT,0.0035504366437523745,0.012070036484685851,-0.7496888327852219,-0.11704696009443438,6
betaJump,42.58266515458898,18.567584923137694,1.155542675562903,3.0306172969608753,460
betaVol,-0.0023680058850960015,0.40750099987251803,-0.21997687841632238,0.004222551942483221,450
