group,factor,beta,beta_t,beta_p,n,p_bonf,p_fdr,sig_bonf,sig_fdr
commodity,betaVol,0.0191280471695955,2.831935770368319,0.0046267141444846,230,0.1156678536121156,0.1072615814099623,False,False
commodity,dPIV,-0.0641823681350396,-2.458074437631393,0.0139684217980438,274,0.3492105449510961,0.1072615814099623,False,False
commodity,dCIV,-0.051045776283339,-2.386243306485426,0.0170214855913383,274,0.4255371397834577,0.1072615814099623,False,False
commodity,VAR_MINUS,-0.2133477695277874,-2.3194315986160388,0.0203716459729208,277,0.5092911493230218,0.1072615814099623,False,False
commodity,KT,-0.834450391888209,-2.137148944984117,0.032585879071293,277,0.8146469767823252,0.1072615814099623,False,False
commodity,PIV,-0.0821270825699168,-2.1183959058092645,0.0341415523290668,280,0.853538808226672,0.1072615814099623,False,False
commodity,VARQ,-0.1399815988863016,-2.1055487217675077,0.03524357090173,277,0.8810892725432524,0.1072615814099623,False,False
commodity,dTSPUT,-0.0524284373011312,-2.0698376338007014,0.0384675518370725,150,0.9616887959268138,0.1072615814099623,False,False
commodity,dIVS_ATM,0.1043902016095712,2.068275020307286,0.0386141693075864,270,0.9653542326896614,0.1072615814099623,False,False
commodity,VAR_PLUS,-0.361463934295838,-1.9837055276908848,0.0472886769909376,277,1.0,0.118221692477344,False,False
commodity,CIV,-0.0552319725219466,-1.746051382347734,0.0808020237675276,280,1.0,0.1836409631080173,False,False
commodity,dTSCALL,-0.0424892578873405,-1.555519330346378,0.1198224344680882,154,1.0,0.2357037368618244,False,False
commodity,IVS_ATM,0.1334770212200578,1.544092427144419,0.1225659431681487,278,1.0,0.2357037368618244,False,False
commodity,betaIVSOTM,-0.5832269359423476,-1.4728826029834108,0.1407826938176021,89,1.0,0.2513976675314324,False,False
commodity,TSCALL,-0.0299907916634046,-1.2640180879327834,0.2062235347984471,172,1.0,0.3437058913307452,False,False
commodity,TSPUT,-0.0415623933457948,-1.181902197237276,0.2372445100559,170,1.0,0.3706945469623439,False,False
commodity,betaJump,0.0002499730318604,1.076767892195248,0.2815839728434237,235,1.0,0.4140940777109173,False,False
commodity,betaVRP,-0.0173770212679223,-0.870738002752808,0.3838972234071165,136,1.0,0.5331905880654396,False,False
commodity,SKEW,0.0075795041923474,0.7205109284529717,0.4712104734905987,280,1.0,0.5858389519907012,False,False
commodity,betaVIX,0.1471464539663894,0.7192069947666382,0.4720133902431871,89,1.0,0.5858389519907012,False,False
commodity,AVAR,0.48216287304445,0.686965102737766,0.492104719672189,277,1.0,0.5858389519907012,False,False
commodity,dIVS_OTM,0.0276556446079018,0.4992468217357215,0.6176055131771736,274,1.0,0.7018244467922427,False,False
commodity,IVS_OTM,0.0368730229583183,0.4138634452896743,0.6789741162403231,280,1.0,0.7380153437394817,False,False
commodity,VRP,-0.0166894414161728,-0.2396278104108907,0.810618803222271,274,1.0,0.8387508793521082,False,False
commodity,VOV,0.0276029935870314,0.2034915119863312,0.8387508793521082,279,1.0,0.8387508793521082,False,False
commodity,O_S,,,,0,,,False,False
commodity,betaSkew,,,,0,,,False,False
commodity,betaTSCALL,,,,0,,,False,False
commodity,betaTSPUT,,,,0,,,False,False
