group,factor,beta,beta_t,beta_p,n,p_bonf,p_fdr,sig_bonf,sig_fdr
all,IVS_ATM,0.2115515279213411,2.6729201084653047,0.0075194155932056,463,0.195504805423346,0.195504805423346,False,False
all,dIVS_ATM,0.113287020198294,2.2031189988951985,0.0275863624436552,445,0.7172454235350376,0.3586227117675188,False,False
all,betaIVSOTM,-0.5385863681417802,-1.9585616714883525,0.0501641419820307,111,1.0,0.409110040402308,False,False
all,dTSCALL,-0.0489161094728565,-1.6849105930184236,0.0920058225032722,241,1.0,0.409110040402308,False,False
all,SKEW,0.0139183582629782,1.662812240161196,0.0963500257155513,466,1.0,0.409110040402308,False,False
all,dCIV,-0.0381183483522585,-1.6277980386618291,0.1035677165641176,453,1.0,0.409110040402308,False,False
all,IVS_OTM,0.101863883176283,1.5975416967122285,0.1101450108775444,466,1.0,0.409110040402308,False,False
all,dTSPUT,-0.0364320818068842,-1.3675868257342323,0.1714414425088577,237,1.0,0.5178972230794028,False,False
all,KT,-0.5558293713905459,-1.3429995619715844,0.1792721156813317,467,1.0,0.5178972230794028,False,False
all,AVAR,0.2455536316765923,1.217964766664323,0.2232373621105765,467,1.0,0.580417141487499,False,False
all,betaVol,0.0121353887100615,0.952759514821121,0.3407119312324066,450,1.0,0.7093585483232847,False,False
all,VOV,0.1208897050926101,0.8984024852321173,0.3689710120143854,469,1.0,0.7093585483232847,False,False
all,VAR_PLUS,-0.1486500473973686,-0.897331327695587,0.3695421445532316,467,1.0,0.7093585483232847,False,False
all,TSPUT,-0.0446300171676038,-0.874286415722332,0.3819622952509994,294,1.0,0.7093585483232847,False,False
all,CIV,-0.032660852054859,-0.7551398151309808,0.4501650957427836,467,1.0,0.7570319308563092,False,False
all,betaVRP,-0.015270360486015,-0.7292221181638028,0.4658658036038825,169,1.0,0.7570319308563092,False,False
all,dIVS_OTM,0.02684666105162,0.565417731005981,0.5717896671568162,451,1.0,0.8496360544844284,False,False
all,VRP,-0.0124987086683504,-0.4841983304925518,0.6282451216306153,462,1.0,0.8496360544844284,False,False
all,TSCALL,-0.0141260260480461,-0.4507041488847157,0.6522027917335695,296,1.0,0.8496360544844284,False,False
all,PIV,0.0225604658517777,0.3754445496208172,0.7073298781398121,467,1.0,0.8496360544844284,False,False
all,betaVIX,-0.0347169364750375,-0.3739952951219671,0.7084078165608483,113,1.0,0.8496360544844284,False,False
all,VARQ,-0.0308816267645549,-0.3528755434352278,0.7241817463929371,467,1.0,0.8496360544844284,False,False
all,betaJump,9.114982328236308e-05,0.3165288575281438,0.7516011251208404,460,1.0,0.8496360544844284,False,False
all,dPIV,-0.011709574100804,-0.2584884831217395,0.7960299361295229,453,1.0,0.8623657641403164,False,False
all,O_S,0.0010089254422794,0.1296490848072131,0.8968440668863958,190,1.0,0.9121602089512912,False,False
all,VAR_MINUS,0.0176849575450446,0.1103141836997762,0.912160208951291,467,1.0,0.9121602089512912,False,False
all,betaSkew,,,,0,,,False,False
all,betaTSCALL,,,,0,,,False,False
all,betaTSPUT,,,,0,,,False,False
