factor,lasso_coef_std,lasso_selected,ridge_coef_std,rf_gini,rf_perm,rank_gini,rank_perm
betaVol,0.0,False,0.006925644928519052,0.05955534999050028,0.09121915008399534,4,1
dCIV,-0.0,False,0.0027214853325962427,0.07212792264669318,0.038984098297331626,2,2
dIVS_OTM,0.0,False,0.00023060076282434804,0.03652760265786574,0.03641559758230221,13,3
VAR_PLUS,-0.0,False,-0.010101486939400158,0.04866049851451043,0.035259493496227166,8,4
VRP,-0.0,False,0.005348152973262935,0.06009082040412056,0.0316155230991101,3,5
PIV,-0.0,False,-0.01236041045430766,0.04282079804055829,0.031176829205655343,9,6
VOV,0.0,False,0.005149837564576396,0.05470267256205699,0.029718870308279265,6,7
AVAR,0.0,False,0.008878903539717821,0.0747605332898688,0.027147610530114618,1,8
VAR_MINUS,-0.0,False,-0.006153046073107488,0.039313742493087646,0.02678023759617646,11,9
dIVS_ATM,0.0,False,0.004986491098802041,0.0364227219285557,0.025713003408526624,14,10
dPIV,-0.0,False,-0.0052261286107109315,0.058820273739769315,0.025543508565902463,5,11
dTSCALL,-0.0,False,-0.0019281937195077443,0.03083438123522022,0.02503940047970732,19,12
CIV,-0.0,False,0.01832876736115303,0.04208670612044925,0.024278865302991746,10,13
TSPUT,-0.0,False,0.004561494757706303,0.03038284101928701,0.021817526738981817,20,14
IVS_OTM,0.0,False,-0.0022697681987620877,0.028664449355816152,0.021371322888731514,22,15
dTSPUT,-0.0,False,0.0009767133704968692,0.036085508203649565,0.0192234315468507,15,16
IVS_ATM,0.0,False,0.0018945555441882602,0.029459814557830262,0.01911363144525613,21,17
TSCALL,-0.0,False,0.0020683330205446674,0.030853957570881687,0.017989089628039367,18,18
SKEW,0.0,False,0.005719758555186059,0.03336753473445185,0.015570097912717917,17,19
betaJump,0.0,False,-0.002291575950041762,0.05028139109621528,0.014741619887767043,7,20
VARQ,-0.0,False,-0.0071165328860822675,0.03849787570253084,0.014274249017140606,12,21
KT,-0.0,False,-0.0015268505069342745,0.03522347260171632,0.011774283955719533,16,22
betaVRP,-0.0,False,-0.0022194202538945713,0.008065456826107365,0.006953476168423056,24,23
betaIVSOTM,-0.0,False,-0.0011753639319366995,0.0056613569646678345,0.0042330903854829625,25,24
betaVIX,0.0,False,0.004790661631913699,0.00856477312418896,0.0035804012396771557,23,25
betaSkew,,False,,0.0,0.0,27,26
O_S,,False,,0.0,-1.1102230246251566e-17,27,27
betaTSCALL,0.0,False,0.0044416796223431775,0.0,-1.1102230246251566e-17,27,27
betaTSPUT,0.0,False,0.003582696962101927,0.0,-2.2204460492503132e-17,27,29
