factor,beta,beta_t,beta_p,r2,n
CIV,-0.03249556003716387,-0.13952691425561292,0.889033789446606,0.000510315623022839,58
PIV,0.14563543460637682,1.0577013087278881,0.2901916384202632,0.01945846812588603,58
dCIV,0.13720169646126876,1.0640334063477657,0.28731356637692385,0.011955025645329909,56
dPIV,0.0880285749953906,0.48422906346329003,0.6282233128375767,0.005073640681810487,56
IVS_ATM,0.325601274311142,1.8145987063735216,0.06958560145231897,0.04861714542415363,58
IVS_OTM,0.5040078712167578,2.5621222737539813,0.010403468446665289,0.07587207689292952,58
dIVS_ATM,-0.055415731678091405,-0.45019140461453566,0.6525724334716279,0.0016346746264980228,56
dIVS_OTM,0.004157036377786978,0.023089958876436827,0.981578515208233,5.695071193079215e-06,56
SKEW,0.5710633882355426,2.724887839572216,0.006432333408285549,0.08910836646415465,58
AVAR,0.03271521694664029,0.05199643377661195,0.9585315350058564,4.207186871396651e-05,59
VARQ,0.20067004125998678,0.4832102625827882,0.6289464492394965,0.004039372015224307,59
VAR_PLUS,0.4036445469372751,0.4732490671060288,0.6360354950179699,0.003803021725144129,59
VAR_MINUS,0.23042981990809516,0.37407655690500036,0.7083473595200851,0.002467376309856273,59
VRP,0.18771580500581378,1.067287413006711,0.285842070174406,0.009896861615070529,58
KT,0.20067004125998678,0.4832102625827882,0.6289464492394965,0.004039372015224307,59
TSCALL,0.32628241902322513,1.329791302451363,0.18358704239346224,0.020700210919312068,58
TSPUT,-0.045019388111633384,-0.15856627980511945,0.874010597427067,0.0005731571579192796,58
dTSCALL,0.18813516132457214,0.7649963602762563,0.44427371197486565,0.008496900363866966,56
dTSPUT,0.08434341143669517,0.33951861015383045,0.7342190799158601,0.001973093768777856,56
VOV,0.026725940132122022,0.29500885754171624,0.7679871133414384,0.0010067104741972033,59
O_S,-0.0008882488362961913,-0.11218954200091794,0.9106731210941107,0.00018193874036698254,163
betaVIX,-0.0550200842925451,-1.5725166208736354,0.11583078761022367,0.04985341820126976,41
betaSkew,0.04919653279195804,1.588345191136748,0.11220830385802508,0.06827557964311126,41
betaVRP,-0.0024194131749132627,-0.15506458153829028,0.8767704042325549,0.0006537217621979119,43
betaIVSOTM,0.0632291301968302,1.9897876171596782,0.04661433607238512,0.09728206817111906,35
betaTSCALL,-0.03585173957501797,-1.5361856031171233,0.12449286594803802,0.042742319596742906,41
betaTSPUT,0.013882125755593302,0.3727171933926772,0.7093589385970256,0.0037405657834505,41
betaJump,-0.0001774753019458369,-0.7044168104734481,0.48117324017782137,0.011738070724151117,56
betaVol,-0.006489403927967712,-0.47888927003972215,0.6320174047113548,0.0064211657393821175,55
