underlying,factor,alpha,beta,alpha_se,beta_se,alpha_t,beta_t,alpha_p,beta_p,r2,n
159915.SZ,CIV,-0.0229800247964855,0.09219476249547667,0.0594815120803931,0.21002408527877175,-0.38633894789739903,0.438972332021366,0.6992456590978793,0.6606815843392239,0.003705369464303332,26.0
159915.SZ,PIV,-0.039555962218781125,0.1618195793006364,0.05192179791143795,0.17911905071611653,-0.7618372978195207,0.9034191430430376,0.4461571166551539,0.36630348391108813,0.014971384569106516,26.0
159915.SZ,dCIV,-0.0035972136823064875,-0.09766682745263036,0.01492025650816219,0.23820574303863695,-0.24109596777633258,-0.41001038097049075,0.8094807378653067,0.6817983324616224,0.0023874202106582976,24.0
159915.SZ,dPIV,-0.0018163712857491915,0.103911223176198,0.015688952158377987,0.26233422527191474,-0.11577390684942838,0.3961024264694853,0.9078317307464316,0.692029468336242,0.0024928844517055904,24.0
159915.SZ,IVS_ATM,0.001255893257456417,0.3930174965003395,0.013750195685708226,0.3568422145263058,0.09133639158035954,1.101376127883454,0.9272253025248162,0.27073299075035784,0.020705983402904415,26.0
159915.SZ,IVS_OTM,-0.00845662108105705,1.3770590857052696,0.014432421887504137,0.6222299444221744,-0.585946083545337,2.213103207342516,0.5579117475471189,0.026890531042063896,0.08713261526213667,26.0
159915.SZ,dIVS_ATM,-0.004214774215926349,0.44312174931841664,0.014443089433045267,0.5635998436711893,-0.29181943624077394,0.7862346916776985,0.7704246837747113,0.43173000540614526,0.01880847513677686,24.0
159915.SZ,dIVS_OTM,-0.0043655303395788115,1.1541372072698126,0.013527182841454913,0.6276285886143433,-0.32272280124730524,1.8388856534051081,0.7469051824616795,0.06593200638622311,0.06676208978894427,24.0
159915.SZ,SKEW,0.0057275575929376255,0.4015885476957635,0.014268521404289771,0.16173550635325687,0.4014121316884074,2.482995581802726,0.6881167189488864,0.013028270351586416,0.11498581920890794,26.0
159915.SZ,AVAR,-0.0037665013020586873,0.006312021961283556,0.013598671827417632,0.2696018175206347,-0.2769756745261453,0.02341238653111249,0.7817987846171655,0.9813213246918888,3.97580271593867e-06,27.0
159915.SZ,VARQ,-0.012363696716304355,0.13092066351275372,0.02428780984738718,0.21519284103505584,-0.5090494694248608,0.60838763447259,0.6107175494131939,0.5429304107905901,0.004963742941357485,27.0
159915.SZ,VAR_PLUS,-0.009090618057428357,0.17931210725670466,0.018223583865362117,0.23680762471992278,-0.49883810586275806,0.7572058014127744,0.6178934402357701,0.44892657509191103,0.00334275883317825,27.0
159915.SZ,VAR_MINUS,-0.011386349327144454,0.21241394576645894,0.026171899560991595,0.4595927106765891,-0.43506010332224626,0.46217866565758603,0.6635188016609636,0.6439532011826932,0.004093642301659761,27.0
159915.SZ,VRP,-0.003948778017216441,-0.003570835804641171,0.013429170024610951,0.017105303549940828,-0.2940448300214919,-0.20875606178023795,0.7687236473592356,0.834638673177854,0.00010276456309898929,27.0
159915.SZ,KT,-0.014908762822906369,2.399102172565317,0.024141510224660687,3.149239205394895,-0.6175571736882055,0.7618037297565285,0.5368672823442358,0.4461771540147027,0.008866920898657815,27.0
159915.SZ,TSCALL,-0.004900829736054518,0.403819608841513,0.016059158092208828,0.4553429583195836,-0.3051735158166341,0.8868471587477393,0.7602340022142631,0.3751611939519277,0.012255668693072486,25.0
159915.SZ,TSPUT,-0.005273857920284672,-0.41695871183754935,0.01278245662238227,0.5657833670632195,-0.4125856301401461,-0.7369582354494334,0.6799102312248956,0.4611477477978707,0.010413956541667768,25.0
159915.SZ,dTSCALL,-0.007946053886778168,-0.6843043024226246,0.012863079548927469,0.4429014970584443,-0.6177411759410844,-1.5450485197441663,0.5367459648053656,0.12233452773749412,0.03957005067232122,23.0
159915.SZ,dTSPUT,-0.004777912603452594,-0.14960143214906596,0.01573959216464645,0.46649863335728475,-0.303560127446283,-0.32068996874099803,0.7614630325495986,0.7484453499015711,0.0015455816293247215,23.0
159915.SZ,VOV,-0.010311866019715545,0.35149841003294463,0.017215073140969896,0.35263408033544463,-0.5990021613776644,0.9967794652705726,0.5491714432582581,0.31887156778480386,0.005699389431783608,27.0
159915.SZ,O_S,0.17280898608301626,0.027014196623050636,0.11568047796401562,0.018363363690445816,1.4938474418887813,1.4710919567043004,0.1352154982892955,0.14126624995317177,0.018625030155015154,27.0
159915.SZ,betaVIX,-0.41482504393306996,-1.1239803735740068,0.17438924525138588,0.43047534794782183,-2.378730657014374,-2.6110214648348347,0.017372364442359213,0.009027222755149951,0.1174382647224902,12.0
159915.SZ,betaSkew,-0.05809780180263388,-1.5472588717287759,0.030687817218491266,0.6067001233071696,-1.893187820723412,-2.5502860676779613,0.058332896490651966,0.01076345601369557,0.07696950433993732,12.0
159915.SZ,betaVRP,-0.0014302218253588448,-0.0068304209877509525,0.02206040108147678,0.03751542992896642,-0.06483208623798521,-0.1820696444285461,0.9483076940583339,0.8555280707745762,0.0002802195364752791,15.0
159915.SZ,betaIVSOTM,-0.06319827393328213,-0.45913225809401326,0.024224429396728406,0.169223485125165,-2.608865327569585,-2.713171033881138,0.009084298606239114,0.006664270029875838,0.12295107105851488,12.0
159915.SZ,betaTSCALL,,,,,,,,,,
159915.SZ,betaTSPUT,,,,,,,,,,
159915.SZ,betaJump,-0.001957887050888354,-0.00019878153591131194,0.025461761374880123,0.0007104119388309925,-0.07689519283689274,-0.2798116487715759,0.9387069217863773,0.7796220141308234,0.0009727774876957529,47.0
159915.SZ,betaVol,-0.007706196520273419,-0.0020285853548535513,0.01075291883787476,0.03551091186834048,-0.7166609026313916,-0.05712569033357105,0.47358335571530563,0.9544450719080558,5.879055237500985e-05,46.0
510050.SH,CIV,0.007301155555344758,-0.04587055530427819,0.04369162018300992,0.20297241677163907,0.16710654182112275,-0.22599403423316577,0.8672862187650502,0.8212060603027159,0.0010057403012132538,58.0
510050.SH,PIV,-0.024363331464938118,0.12825947560002018,0.024161493550464177,0.11807631083135636,-1.0083537018956372,1.0862422334926098,0.31328469083282884,0.2773718367279029,0.01736065428214706,58.0
510050.SH,dCIV,-0.000543053312763955,0.1552837317623766,0.006399715413044408,0.10138536595560814,-0.08485585338014572,1.5316187923054694,0.9323759890422753,0.1256165323984884,0.016834187946200063,56.0
510050.SH,dPIV,-0.0011696938957169358,0.06060791738570823,0.006339552823269088,0.11237526024775003,-0.18450731910042908,0.5393350569519301,0.8536154859166583,0.5896556834022146,0.0027254541432738533,56.0
510050.SH,IVS_ATM,0.0039207075049118795,0.39622052931267376,0.005639980639350819,0.14223675514263467,0.6951632914405121,2.785640947133143,0.48695297431258266,0.005342200923137608,0.0625608201156872,58.0
510050.SH,IVS_OTM,0.0018128445076558656,0.3068171138461672,0.005524864891490695,0.12049478956487401,0.3281246769396983,2.546310217679395,0.7428173964788727,0.010886839143932943,0.0479770390365829,58.0
510050.SH,dIVS_ATM,-0.001109507865503135,-0.01160404060141949,0.00650603594828257,0.12248234058597579,-0.17053515755565676,-0.09474051970189204,0.8645892875606356,0.9245209326411841,6.161716720676225e-05,56.0
510050.SH,dIVS_OTM,-0.0009607813626284745,-0.06474303841778936,0.0064648380167182705,0.11233906656025161,-0.14861646342009874,-0.576318109097562,0.881856281352992,0.5644001847349964,0.0021271441368374555,56.0
510050.SH,SKEW,0.005127073273031017,0.06473370882457823,0.005809954196323839,0.025369915152212905,0.8824636304835407,2.551593430099895,0.37752613910263233,0.010723156910862135,0.05339304961395164,58.0
510050.SH,AVAR,-0.002439419706031171,0.15647878461936632,0.005708086462167444,0.5329872261860515,-0.4273620804799245,0.29358824551780865,0.6691156220935811,0.7690725588756788,0.001766450824057686,59.0
510050.SH,VARQ,-0.009021690749729349,0.14471239606580888,0.020115923833693483,0.4149388315260022,-0.4484850322717133,0.34875597334095365,0.6538031860238739,0.7272725186805954,0.00271674274673539,59.0
510050.SH,VAR_PLUS,-0.004815313694737471,0.08500458779093654,0.012577734785329064,0.4148523014344875,-0.3828442702062819,0.20490325712791127,0.7018352347264609,0.8376477103929654,0.00031811425865824194,59.0
510050.SH,VAR_MINUS,-0.008103673467997658,0.2641163984275045,0.017336908782708577,0.7700725637427819,-0.467423204999502,0.34297598805990465,0.6401971236476878,0.7316165244888668,0.003969953323793907,59.0
510050.SH,VRP,-0.002862543106465203,0.19628245302308836,0.00588154992728023,0.13619055504145872,-0.48669876849773025,1.4412339604852675,0.6264718180800779,0.14951859712794147,0.009812235635389466,58.0
510050.SH,KT,-0.004955252558970531,0.6953338587287163,0.018629790456610767,5.427964727664269,-0.2659854156981225,0.12810213286480374,0.7902504411515304,0.8980681481749587,0.0002937792462103239,59.0
510050.SH,TSCALL,0.004396180125235956,0.25280619414852706,0.00674723093415335,0.22393171645815635,0.6515532324502531,1.1289432249574445,0.5146894260128467,0.25892178484423056,0.013606127642005195,35.0
510050.SH,TSPUT,-0.0002581982797256385,-0.19773479001416724,0.005163173897564755,0.4110932113090227,-0.05000766676625387,-0.4809974589084812,0.9601162787717169,0.6305183047367049,0.009662382277681902,35.0
510050.SH,dTSCALL,-0.001526397364229722,-0.194916188803382,0.009235138460159132,0.18901787582612462,-0.16528148124845987,-1.0312050537626567,0.8687224341726263,0.30244467122548946,0.009485728801610582,21.0
510050.SH,dTSPUT,-0.0008744985801787219,0.02205386861549268,0.008907348916208549,0.4075523840631487,-0.09817720046729189,0.05411296676913934,0.9217915863799514,0.9568451613972093,6.459435671035685e-05,21.0
510050.SH,VOV,-0.009961859621141617,0.4521371881869178,0.010380469846788977,0.5091942335357076,-0.9596732872571418,0.8879464031778187,0.3372196715456457,0.37456958228343973,0.009505403582386718,59.0
510050.SH,O_S,0.02960330555587892,0.004292775451264792,0.08079642503462069,0.010917020243086157,0.3663937549612389,0.39321860321578533,0.7140712790703694,0.6941580307446824,0.0017312129586009029,59.0
510050.SH,betaVIX,,,,,,,,,,
510050.SH,betaSkew,,,,,,,,,,
510050.SH,betaVRP,,,,,,,,,,
510050.SH,betaIVSOTM,,,,,,,,,,
510050.SH,betaTSCALL,,,,,,,,,,
510050.SH,betaTSPUT,,,,,,,,,,
510050.SH,betaJump,-0.026221281642031448,0.00041656901739011554,0.01592335535967808,0.0003557713549173842,-1.646718361158371,1.1708897066399555,0.09961594839510485,0.24164311312769782,0.0108773061458306,47.0
510050.SH,betaVol,-0.00889321100551103,0.00312137109234074,0.006078329425066941,0.014086639844640196,-1.463101188434368,0.22158379335071776,0.14343969273493928,0.8246378999179851,0.0004268417857339335,46.0
510300.SH,CIV,0.017778170575493194,-0.09678492180851594,0.035465390019264686,0.15397443591044013,0.5012822519599008,-0.6285778625278504,0.6161724941545508,0.5296254569915062,0.008538594732027338,59.0
510300.SH,PIV,-0.003629388651726224,0.010741678681741088,0.028487395694359898,0.14413612071943138,-0.12740331515965117,0.07452454407768012,0.898621192505779,0.94059301211659,0.0001412856583701272,59.0
510300.SH,dCIV,-0.0013640724780528038,-0.0286062660706499,0.006443557301908251,0.10546941568126836,-0.21169556102943873,-0.27122807010801,0.83234455140432,0.7862156250274854,0.0012141864264222368,58.0
510300.SH,dPIV,-0.001284813863571226,-0.1453649374467427,0.006464123436267871,0.07807759742887016,-0.19876072544694884,-1.8618008524042033,0.8424499195159696,0.06263116632134019,0.02588615730602528,58.0
510300.SH,IVS_ATM,0.0009899622031515017,0.26498606112899076,0.006942594623392186,0.1964700369182949,0.14259254023214182,1.3487352335521232,0.8866119893080525,0.17742202421493158,0.027642226829992733,58.0
510300.SH,IVS_OTM,-0.0005650824637755826,0.22820499654258666,0.006298207851422071,0.1638365618095437,-0.08972115196991994,1.392881991797837,0.928508806889001,0.16365547889401,0.027546619988646492,59.0
510300.SH,dIVS_ATM,-0.000167274379662582,-0.22589185381305632,0.006980708458854028,0.19436428928894403,-0.023962378696737924,-1.1622086271066137,0.9808826175347266,0.24515073118921915,0.021615909889077467,56.0
510300.SH,dIVS_OTM,-0.0014108913609485578,-0.19485942519346885,0.0062762981524536144,0.17423375028964236,-0.22479673952343918,-1.1183793316136446,0.8221374026528044,0.26340501781971115,0.021593621590457412,58.0
510300.SH,SKEW,0.0011753897634168963,0.031254965697564516,0.007474437807853016,0.03936990184137948,0.15725460477869965,0.7938796958013796,0.8750441951904421,0.4272654710281386,0.013143113400233886,58.0
510300.SH,AVAR,-0.0010562963379192015,-0.2863856096375793,0.006653315000130985,0.45158675963552153,-0.15876241210560538,-0.634176276267982,0.8738560639284363,0.5259657881712032,0.005937125204720783,59.0
510300.SH,VARQ,-0.001087509252578002,-0.013184814028441308,0.018653497433838317,0.34634181775392014,-0.05830055497288189,-0.038068790289162456,0.9535092254643711,0.9696328350054952,2.9703465578956312e-05,59.0
510300.SH,VAR_PLUS,-0.006973141852418758,0.256031174033035,0.016432315802183614,0.6037052493938256,-0.4243553943560487,0.42409963188180544,0.6713066461136543,0.6714931539642348,0.0023655197769131275,59.0
510300.SH,VAR_MINUS,0.001408568262856547,-0.13434367637600017,0.014674659874035488,0.493325009537643,0.095986433412933,-0.27232285770776254,0.92353134737619,0.7853737822259325,0.0015438830216079058,59.0
510300.SH,VRP,-0.0015518111403713506,0.1350234894901317,0.006549772609219963,0.10916030666472507,-0.2369259565113607,1.2369284551832822,0.8127142328195197,0.21611364491534146,0.009141893506396381,58.0
510300.SH,KT,0.0011094151700384361,-0.9078299678051399,0.018164598034779423,4.721968158220771,0.06107567962221125,-0.19225668987721606,0.9512989378334391,0.8475411419514649,0.0006380187674461801,59.0
510300.SH,TSCALL,0.007085315885292796,0.10391344614576498,0.005548096342580447,0.2194754569649004,1.27707153008763,0.47346271689222785,0.20157699497646042,0.6358830942157699,0.0031555619970432547,33.0
510300.SH,TSPUT,0.005897459472418066,-0.41625839231339945,0.007648415714862008,0.27348186677100683,0.7710694204236868,-1.5220694418542307,0.440665784944116,0.1279916818517644,0.04004492874306709,33.0
510300.SH,dTSCALL,0.005423428332451703,0.04072981582861164,0.013870040092672904,0.24645952046252895,0.39101749499027955,0.16525965705108192,0.6957843041886439,0.8687396111642587,0.0004387144321231773,19.0
510300.SH,dTSPUT,0.004660141534004416,-0.052672933264763876,0.01178501257768514,0.4114217921094038,0.39542949176213604,-0.12802660013390169,0.6925259475374914,0.8981279223965132,0.0008054999294115905,19.0
510300.SH,VOV,-0.0076243363824790395,0.3938731748684057,0.01164724635064943,0.5649126553346496,-0.65460420024978,0.697228449653121,0.5127226190993269,0.4856598373111173,0.005648861210449607,59.0
510300.SH,O_S,0.0018242146668327416,0.0004715257581296036,0.05580094987855277,0.007595332445313018,0.032691462614938084,0.06208099007181392,0.9739206321001832,0.950498335518858,4.195770248771602e-05,59.0
510300.SH,betaVIX,,,,,,,,,,
510300.SH,betaSkew,,,,,,,,,,
510300.SH,betaVRP,,,,,,,,,,
510300.SH,betaIVSOTM,,,,,,,,,,
510300.SH,betaTSCALL,,,,,,,,,,
510300.SH,betaTSPUT,,,,,,,,,,
510300.SH,betaJump,-0.017420247627428442,0.00020375192123224536,0.012556825256938386,0.00028247243802139604,-1.3873130565230036,0.7213161137399609,0.16534632350003053,0.47071504506076733,0.005384797669520713,47.0
510300.SH,betaVol,-0.00867311551655356,0.009264308617732244,0.005539317157399153,0.01183518213878582,-1.5657373048171526,0.7827770210119197,0.11741012905777146,0.4337580638034859,0.005816255051772412,46.0
510500.SH,CIV,-0.014347232569802467,0.07146489399338696,0.024397319773400906,0.10200956063255248,-0.588065931137423,0.7005705499586442,0.5564880396067757,0.48357106267147865,0.009363809743535012,27.0
510500.SH,PIV,-0.028061873085277404,0.128669577613646,0.037582825752328596,0.1580482207859398,-0.7466674610952775,0.8141159512824623,0.4552643158219577,0.4155785286160597,0.025463423313986988,27.0
510500.SH,dCIV,-0.0017447763585131315,0.033626210002442036,0.008797391336862347,0.04133282613782024,-0.19832883313969055,0.8135473216933861,0.8427877941405951,0.4159043264060681,0.0026442708683932503,26.0
510500.SH,dPIV,-0.002258771231755243,0.18004891620211763,0.008818439311584252,0.15002931087048754,-0.2561418355272947,1.20009160315043,0.7978413191289487,0.2301037662899128,0.049927444459932135,26.0
510500.SH,IVS_ATM,-0.01958086986976911,0.7195041827769304,0.016878334175144165,0.38472424061735244,-1.1601186270268797,1.8701815659506384,0.24600051128863565,0.0614586086884935,0.08722292230517392,26.0
510500.SH,IVS_OTM,-0.006414250963778251,0.020388253305086684,0.01136954091783084,0.07511084802127828,-0.5641609463508581,0.2714421930013473,0.5726446034723256,0.7860509543826903,0.00013289477638400715,26.0
510500.SH,dIVS_ATM,-0.002347865808405446,0.5965039353247646,0.009450064379777265,0.19209101671455026,-0.24844971568974483,3.105319267538561,0.8037864715410533,0.001900737394080337,0.12477496852011849,24.0
510500.SH,dIVS_OTM,-0.006574648258335706,0.12281851159623257,0.011725554387509569,0.14412860249247947,-0.5607110794982307,0.852145302683006,0.5749945129584371,0.3941334505241533,0.009483807588634652,24.0
510500.SH,SKEW,-0.010531101685780864,0.08100478205543221,0.01432545027501702,0.06010155824537936,-0.7351323332675037,1.3477983669692941,0.4622589044086661,0.17772324330664901,0.027919107782939157,27.0
510500.SH,AVAR,-0.000849196931200595,-0.10140477860363512,0.00832147304078316,0.2592700656111157,-0.1020488712802072,-0.39111641509642747,0.918717883859834,0.6957111876578188,0.0009617154397910666,27.0
510500.SH,VARQ,-0.005583887424470866,0.0915266782224221,0.014601341943294191,0.16309549408433843,-0.38242289278317465,0.5611845914951683,0.7021477124981998,0.5746717059482718,0.004683122920173699,27.0
510500.SH,VAR_PLUS,-0.004218617473859399,0.13339147404018525,0.012711648957573478,0.2416641759346723,-0.3318701993690588,0.5519704090367296,0.7399872737448876,0.5809686271599455,0.004045141739471125,27.0
510500.SH,VAR_MINUS,-0.00648316652314541,0.21064688536292256,0.01593427637174253,0.3827805216307227,-0.40686921526242037,0.550307221656745,0.6841040472830079,0.5821086718232287,0.00439017879600323,27.0
510500.SH,VRP,-0.0006917069595046039,0.08284640991416022,0.00912747817792121,0.07272439950924553,-0.07578292119917625,1.139183141740866,0.9395918039553997,0.25462677546861023,0.002961568663564229,27.0
510500.SH,KT,-0.006648475107280999,1.6209385488145807,0.015776469297687792,2.7767992343754715,-0.4214171740096121,0.5837435161851537,0.6734504805556776,0.5593928851694823,0.006328221405604406,27.0
