group,model,oos_r2,dir_acc,n_test
commodity,LASSO,-0.0248471361704798,0.4956521739130435,115
commodity,Ridge,-0.0288417946990338,0.4608695652173913,115
commodity,RF,-0.0577403681966728,0.5304347826086957,115
