group,model,oos_r2,dir_acc,n_test
all,LASSO,-0.0202969869547957,0.5478260869565217,230
all,Ridge,-0.019298726149312,0.5565217391304348,230
all,RF,-0.0418530640433676,0.508695652173913,230
