group,factor,beta,beta_t,beta_p,n,p_bonf,p_fdr,sig_bonf,sig_fdr
etf,IVS_OTM,0.2808216107462385,2.189303928288773,0.0285747570361915,186,0.685794168868596,0.4449042390605837,False,False
etf,SKEW,0.0618599267016482,2.0228867216226463,0.0430848278573281,186,1.0,0.4449042390605837,False,False
etf,IVS_ATM,0.3805070817676264,1.914055772133898,0.0556130298825729,185,1.0,0.4449042390605837,False,False
etf,PIV,0.1525221214366443,1.5204744097286125,0.128391785569183,187,1.0,0.6689247306846087,False,False
etf,VOV,0.4183135627322815,1.4781810715891806,0.1393593188926268,190,1.0,0.6689247306846087,False,False
etf,AVAR,0.2224075516855816,1.0961814740358975,0.2729993653094353,190,1.0,0.7482031777112209,False,False
etf,dPIV,0.1257286151704943,1.0446766220069592,0.2961724531687678,179,1.0,0.7482031777112209,False,False
etf,VAR_MINUS,0.2689510866742611,0.9774964434053928,0.3283234376705042,190,1.0,0.7482031777112209,False,False
etf,dIVS_ATM,0.1440232323186845,0.967008173853837,0.3335399475236842,175,1.0,0.7482031777112209,False,False
etf,TSCALL,0.258828941173283,0.952869446928606,0.3406562221105924,124,1.0,0.7482031777112209,False,False
etf,dTSPUT,0.1166517100886206,0.9383327517305587,0.3480734334168972,87,1.0,0.7482031777112209,False,False
etf,dTSCALL,-0.2007509940771849,-0.8011799894238583,0.4230274539743709,87,1.0,0.7482031777112209,False,False
etf,KT,1.724582283976445,0.7905904462685194,0.4291830236730373,190,1.0,0.7482031777112209,False,False
etf,VARQ,0.121664511255316,0.778198749919323,0.4364518536648788,190,1.0,0.7482031777112209,False,False
etf,VRP,-0.0115540248725925,-0.403634623875204,0.686481420847139,188,1.0,0.8790781097654722,False,False
etf,dCIV,0.0282045348489367,0.3063960696714871,0.7593031005065527,179,1.0,0.8790781097654722,False,False
etf,CIV,0.0367988465135342,0.300019797536832,0.7641620545882926,187,1.0,0.8790781097654722,False,False
etf,betaVol,0.0063464754856539,0.2866534331368422,0.7743776967485596,220,1.0,0.8790781097654722,False,False
etf,VAR_PLUS,0.0579705335623546,0.2675077699532931,0.7890782325370963,190,1.0,0.8790781097654722,False,False
etf,dIVS_OTM,0.023176159982885,0.2536891071793869,0.7997357500360516,177,1.0,0.8790781097654722,False,False
etf,betaVRP,-0.0121330944210169,-0.2313187764599205,0.8170671607076977,33,1.0,0.8790781097654722,False,False
etf,TSPUT,-0.0625457641151473,-0.2107427765481989,0.8330879932701438,124,1.0,0.8790781097654722,False,False
etf,betaJump,-9.854677079672923e-05,-0.1987608076734789,0.8424498551919108,225,1.0,0.8790781097654722,False,False
etf,O_S,0.0010089254422794,0.1296490848072131,0.8968440668863958,190,1.0,0.8968440668863958,False,False
etf,betaVIX,,,,0,,,False,False
etf,betaSkew,,,,0,,,False,False
etf,betaIVSOTM,,,,0,,,False,False
etf,betaTSCALL,,,,0,,,False,False
etf,betaTSPUT,,,,0,,,False,False
