group,factor,lasso_coef_std,lasso_selected,ridge_coef_std,rf_gini,rf_perm,rank_gini,rank_perm
commodity,betaVol,0.0,False,0.006925644928519,0.0595553499905002,0.0912191500839953,4,1
commodity,dCIV,-0.0,False,0.0027214853325962,0.0721279226466931,0.0389840982973316,2,2
commodity,dIVS_OTM,0.0,False,0.0002306007628243,0.0365276026578657,0.0364155975823022,13,3
commodity,VAR_PLUS,-0.0,False,-0.0101014869394001,0.0486604985145104,0.0352594934962271,8,4
commodity,VRP,-0.0,False,0.0053481529732629,0.0600908204041205,0.0316155230991101,3,5
commodity,PIV,-0.0,False,-0.0123604104543076,0.0428207980405582,0.0311768292056553,9,6
commodity,VOV,0.0,False,0.0051498375645763,0.0547026725620569,0.0297188703082792,6,7
commodity,AVAR,0.0,False,0.0088789035397178,0.0747605332898688,0.0271476105301146,1,8
commodity,VAR_MINUS,-0.0,False,-0.0061530460731074,0.0393137424930876,0.0267802375961764,11,9
commodity,dIVS_ATM,0.0,False,0.004986491098802,0.0364227219285557,0.0257130034085266,14,10
commodity,dPIV,-0.0,False,-0.0052261286107109,0.0588202737397693,0.0255435085659024,5,11
commodity,dTSCALL,-0.0,False,-0.0019281937195077,0.0308343812352202,0.0250394004797073,19,12
commodity,CIV,-0.0,False,0.018328767361153,0.0420867061204492,0.0242788653029917,10,13
commodity,TSPUT,-0.0,False,0.0045614947577063,0.030382841019287,0.0218175267389818,20,14
commodity,IVS_OTM,0.0,False,-0.002269768198762,0.0286644493558161,0.0213713228887315,22,15
commodity,dTSPUT,-0.0,False,0.0009767133704968,0.0360855082036495,0.0192234315468507,15,16
commodity,IVS_ATM,0.0,False,0.0018945555441882,0.0294598145578302,0.0191136314452561,21,17
commodity,TSCALL,-0.0,False,0.0020683330205446,0.0308539575708816,0.0179890896280393,18,18
commodity,SKEW,0.0,False,0.005719758555186,0.0333675347344518,0.0155700979127179,17,19
commodity,betaJump,0.0,False,-0.0022915759500417,0.0502813910962152,0.014741619887767,7,20
commodity,VARQ,-0.0,False,-0.0071165328860822,0.0384978757025308,0.0142742490171406,12,21
commodity,KT,-0.0,False,-0.0015268505069342,0.0352234726017163,0.0117742839557195,16,22
commodity,betaVRP,-0.0,False,-0.0022194202538945,0.0080654568261073,0.006953476168423,24,23
commodity,betaIVSOTM,-0.0,False,-0.0011753639319366,0.0056613569646678,0.0042330903854829,25,24
commodity,betaVIX,0.0,False,0.0047906616319136,0.0085647731241889,0.0035804012396771,23,25
commodity,betaSkew,,False,,0.0,0.0,27,26
commodity,O_S,,False,,0.0,-1.1102230246251566e-17,27,27
commodity,betaTSCALL,0.0,False,0.0044416796223431,0.0,-1.1102230246251566e-17,27,27
commodity,betaTSPUT,0.0,False,0.0035826969621019,0.0,-2.2204460492503132e-17,27,29
